Bird Species,Distance Bin,Date,Time,Coordinates,Location,Habitat Type,Time Period,Group Name,Remarks
Yellow-vented Bulbul,3,28th Feb (Wed),0923,"1°17'58.5""N 103°46'35.9""E",Grass Patch beside Basketball Courts,Tree (10m high in tree),0922-0932,Ashy Minivet,
Javan Myna,3,28th Feb (Wed),0925,"1°17'58.5""N 103°46'35.9""E",Grass Patch beside Basketball Courts,Poolside,0922-0932,Ashy Minivet,
Olive-backed Sunbird,1,28th Feb (Wed),0926,"1°17'58.5""N 103°46'35.9""E",Grass Patch beside Basketball Courts,Tree (10m high in tree),0922-0932,Ashy Minivet,moving from tree to tree
Olive-backed Sunbird,1,28th Feb (Wed),0926,"1°17'58.5""N 103°46'35.9""E",Grass Patch beside Basketball Courts,Tree (10m high in tree),0922-0932,Ashy Minivet,moving from tree to tree
Olive-backed Sunbird,1,28th Feb (Wed),0939,"1°17'51.1""N 103°46'41.3""E",Busstop (Opp University Hall; ID: 18319),Tree (8m high in tree),0938-0948,Ashy Minivet,moving from tree to tree; location has high vehicular traffic
Javan Myna,3,28th Feb (Wed),0942,"1°17'51.1""N 103°46'41.3""E",Busstop (Opp University Hall; ID: 18319),NIL (flight),0938-0948,Ashy Minivet,in flight; location has high vehicular traffic
Javan Myna,3,28th Feb (Wed),0943,"1°17'51.1""N 103°46'41.3""E",Busstop (Opp University Hall; ID: 18319),Urban (Under shade of building),0938-0948,Ashy Minivet,location has high vehicular traffic
Javan Myna,3,28th Feb (Wed),0944,"1°17'51.1""N 103°46'41.3""E",Busstop (Opp University Hall; ID: 18319),Urban (Rooftop),0938-0948,Ashy Minivet,location has high vehicular traffic
Javan Myna,3,28th Feb (Wed),0946,"1°17'51.1""N 103°46'41.3""E",Busstop (Opp University Hall; ID: 18319),Urban (Rooftop),0938-0948,Ashy Minivet,location has high vehicular traffic
Black-naped Oriole,3,28th Feb (Wed),0952,"1°17'46.5""N 103°46'42.0""E",Beside bend along Science Drive 4,Tree (20m high in tree),0951-1001,Ashy Minivet,moving from tree to tree
Olive-backed Sunbird,2,28th Feb (Wed),0955,"1°17'46.5""N 103°46'42.0""E",Beside bend along Science Drive 4,Tree (10m high in tree),0951-1001,Ashy Minivet,moving among branches of same tree
Olive-backed Sunbird,2,28th Feb (Wed),0958,"1°17'46.5""N 103°46'42.0""E",Beside bend along Science Drive 4,Tree (5m high in tree),0951-1001,Ashy Minivet,moving among branches of same tree
Olive-backed Sunbird,1,28th Feb (Wed),1009,"1°17'50.1""N 103°46'45.9""E",Stone benches beside field,Tree (10m high in tree),1005-1015,Ashy Minivet,moving among branches of same tree; location has high vehicular traffic
Javan Myna,2,28th Feb (Wed),1011,"1°17'50.1""N 103°46'45.9""E",Stone benches beside field,Urban (Building; 3rd Storey),1005-1015,Ashy Minivet,location has high vehicular traffic
Olive-backed Sunbird,1,28th Feb (Wed),1031,"1°17'37.7""N 103°47'06.5""E",Grass Patch opposite Kent Ridge MRT Station,Tree (10m high in tree),1029-1039,Ashy Minivet,moving among branches of same tree; location has high vehicular traffic
Olive-backed Sunbird,1,28th Feb (Wed),1031,"1°17'37.7""N 103°47'06.5""E",Grass Patch opposite Kent Ridge MRT Station,Tree (10m high in tree),1029-1039,Ashy Minivet,moving among branches of same tree; location has high vehicular traffic
Javan Myna,1,28th Feb (Wed),1031,"1°17'37.7""N 103°47'06.5""E",Grass Patch opposite Kent Ridge MRT Station,Urban (In Drain),1029-1039,Ashy Minivet,location has high vehicular traffic
Black-naped Oriole,4,28th Feb (Wed),1059,"1°17'35.1""N 103°46'57.3""E",Drop-off point along Medical Drive,Tree (20m high in tree),1059-1109,Ashy Minivet,flew off about 1min after spotted; construction works
Javan Myna,1,28th Feb (Wed),1059,"1°17'35.1""N 103°46'57.3""E",Drop-off point along Medical Drive,Tree (10m high in tree),1059-1109,Ashy Minivet,construction works
Olive-backed Sunbird,3,28th Feb (Wed),1100,"1°17'35.1""N 103°46'57.3""E",Drop-off point along Medical Drive,Tree (20m high in tree),1059-1109,Ashy Minivet,moving from tree to tree; construction works
Javan Myna,3,28th Feb (Wed),1101,"1°17'35.1""N 103°46'57.3""E",Drop-off point along Medical Drive,Urban (Indoor carpark),1059-1109,Ashy Minivet,construction works
Javan Myna,3,28th Feb (Wed),1101,"1°17'35.1""N 103°46'57.3""E",Drop-off point along Medical Drive,Urban (Indoor carpark),1059-1109,Ashy Minivet,construction works
Javan Myna,3,28th Feb (Wed),1101,"1°17'35.1""N 103°46'57.3""E",Drop-off point along Medical Drive,Urban (Indoor carpark),1059-1109,Ashy Minivet,construction works
Olive-backed Sunbird,2,28th Feb (Wed),1104,"1°17'35.1""N 103°46'57.3""E",Drop-off point along Medical Drive,NIL (flight),1059-1109,Ashy Minivet,in flight; construction works
Black-naped Oriole,2,28th Feb (Wed),1129,"1°17'29.5""N 103°46'45.0""E",Prince George's Park Residences,Tree (30m high in tree),1128-1138,Ashy Minivet,
Yellow-vented Bulbul,2,28th Feb (Wed),1136,"1°17'29.5""N 103°46'45.0""E",Prince George's Park Residences,Tree (5m high in tree),1128-1138,Ashy Minivet,flew off about 3min after spotted
Yellow-vented Bulbul,2,28th Feb (Wed),1136,"1°17'29.5""N 103°46'45.0""E",Prince George's Park Residences,Tree (5m high in tree),1128-1138,Ashy Minivet,flew off about 3min after spotted
Javan Myna,1,28th Feb (Wed),1138,"1°17'29.5""N 103°46'45.0""E",Prince George's Park Residences,Urban (Pavement),1128-1138,Ashy Minivet,
Javan Myna,1,28th Feb (Wed),1138,"1°17'29.5""N 103°46'45.0""E",Prince George's Park Residences,Urban (Pavement),1128-1138,Ashy Minivet,
Javan Myna,1,28th Feb (Wed),1138,"1°17'29.5""N 103°46'45.0""E",Prince George's Park Residences,Urban (Pavement),1128-1138,Ashy Minivet,
Yellow-vented Bulbul,2,27th Feb (Tue),1111,"1°17'41.0""N 103°46'47.0""E",Kent Ridge Road near Institute for Clinical Sciences,Tree,1110-1120,Ashy Minivet,
Javan Myna,1,27th Feb (Tue),1116,"1°17'41.0""N 103°46'47.0""E",Kent Ridge Road near Institute for Clinical Sciences,Tree,1110-1120,Ashy Minivet,
Olive-backed Sunbird,Heard,28th Feb (Wed),0759,"1.294235,103.7701660",Linkway between Ventus and Eusoff Hall,Tree,0758-0808,Banded Woodpecker ,
Yellow-vented Bulbul,Heard,28th Feb (Wed),0759,"1.294235,103.7701660",Linkway between Ventus and Eusoff Hall,Tree,0758-0808,Banded Woodpecker ,
Javan Myna,Heard,28th Feb (Wed),0801,"1.294235,103.7701660",Linkway between Ventus and Eusoff Hall,Tree,0758-0808,Banded Woodpecker ,
Yellow-vented Bulbul,Heard,28th Feb (Wed),0802,"1.294235,103.7701660",Linkway between Ventus and Eusoff Hall,Urban,0758-0808,Banded Woodpecker ,
Olive-backed Sunbird,2,28th Feb (Wed),0803,"1.294235,103.7701660",Linkway between Ventus and Eusoff Hall,Tree,0758-0808,Banded Woodpecker ,
Swiftlet ,Flyby,28th Feb (Wed),0804,"1.294235,103.7701660",Linkway between Ventus and Eusoff Hall,Tree,0758-0808,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0804,"1.294235,103.7701660",Linkway between Ventus and Eusoff Hall,Tree,0758-0808,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0804,"1.294235,103.7701660",Linkway between Ventus and Eusoff Hall,Tree,0758-0808,Banded Woodpecker ,
Yellow-vented Bulbul,Heard,28th Feb (Wed),0805,"1.294235,103.7701660",Linkway between Ventus and Eusoff Hall,Tree,0758-0808,Banded Woodpecker ,
Olive-backed Sunbird,2,28th Feb (Wed),0806,"1.294235,103.7701660",Linkway between Ventus and Eusoff Hall,Tree,0758-0808,Banded Woodpecker ,
Yellow-vented Bulbul ,2,28th Feb (Wed),0808,"1.294235,103.7701660",Linkway between Ventus and Eusoff Hall,Tree,0758-0808,Banded Woodpecker ,
Yellow-vented Bulbul,2,28th Feb (Wed),0808,"1.294235,103.7701660",Linkway between Ventus and Eusoff Hall,Tree,0758-0808,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0808,"1.294235,103.7701660",Linkway between Ventus and Eusoff Hall,Tree,0758-0808,Banded Woodpecker ,
Yellow-vented Bulbul,2,28th Feb (Wed),0811,"1.294235,103.7701660",Linkway between Ventus and Eusoff Hall,Tree,0758-0808,Banded Woodpecker ,
Olive-backed Sunbird,1,28th Feb (Wed),0811,"1.294235,103.7701660",Linkway between Ventus and Eusoff Hall,Tree,0758-0808,Banded Woodpecker ,
Sunbird with red crown,1,28th Feb (Wed),0812,"1.294235,103.7701660",Linkway between Ventus and Eusoff Hall,Tree,0758-0808,Banded Woodpecker ,
Asian Koel,2,28th Feb (Wed),0814,"1.294235,103.7701660",Linkway between Ventus and Eusoff Hall,Tree,0758-0808,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0814,"1.294235,103.7701660",Linkway between Ventus and Eusoff Hall,Tree,0758-0808,Banded Woodpecker ,
Swiftlet ,Flyby,28th Feb (Wed),0814,"1.294235,103.7701660",Linkway between Ventus and Eusoff Hall,Tree,0758-0808,Banded Woodpecker ,
Yellow-vented Bulbul,2,28th Feb (Wed),0814,"1.294235,103.7701660",Linkway between Ventus and Eusoff Hall,Tree,0758-0808,Banded Woodpecker ,
Olive-backed Sunbird,1,28th Feb (Wed),0825,"1.293647,103.771414","Road along AS5, facing Eusoff and Temasek Halls",Tree,0825-0835,Banded Woodpecker ,
Yellow-vented Bulbul,Heard,28th Feb (Wed),0827,"1.293647,103.771414","Road along AS5, facing Eusoff and Temasek Halls",Tree,0825-0835,Banded Woodpecker ,
Olive-backed Sunbird,1,28th Feb (Wed),0829,"1.293647,103.771414","Road along AS5, facing Eusoff and Temasek Halls",Tree,0825-0835,Banded Woodpecker ,
Javan Myna,Heard,28th Feb (Wed),0829,"1.293647,103.771414","Road along AS5, facing Eusoff and Temasek Halls",Tree,0825-0835,Banded Woodpecker ,
Olive-backed Sunbird,1,28th Feb (Wed),0832,"1.293647,103.771414","Road along AS5, facing Eusoff and Temasek Halls",Tree,0825-0835,Banded Woodpecker ,
Olive-backed Sunbird,1,28th Feb (Wed),0832,"1.293647,103.771414","Road along AS5, facing Eusoff and Temasek Halls",Tree,0825-0835,Banded Woodpecker ,
Bird that sounds like monkey,Heard,28th Feb (Wed),0833,"1.293647,103.771414","Road along AS5, facing Eusoff and Temasek Halls",Tree,0825-0835,Banded Woodpecker ,
Yellow-vented Bulbul,Heard,28th Feb (Wed),0835,"1.293647,103.771414","Road along AS5, facing Eusoff and Temasek Halls",Tree,0825-0835,Banded Woodpecker ,
Olive-backed Sunbird,Heard,28th Feb (Wed),0835,"1.293647,103.771414","Road along AS5, facing Eusoff and Temasek Halls",Tree,0825-0835,Banded Woodpecker ,
Yellow-vented Bulbul,Heard,28th Feb (Wed),0840,"1.293939,103.772468",Driveway between the Deck and KR Guild House,Tree,0840-0850,Banded Woodpecker ,
Javan Myna,Heard,28th Feb (Wed),0840,"1.293939,103.772468",Driveway between the Deck and KR Guild House,Tree,0840-0850,Banded Woodpecker ,
Olive-backed Sunbird,Heard,28th Feb (Wed),0840,"1.293939,103.772468",Driveway between the Deck and KR Guild House,Tree,0840-0850,Banded Woodpecker ,
Javan Myna,1,28th Feb (Wed),0841,"1.293939,103.772468",Driveway between the Deck and KR Guild House,Tree,0840-0850,Banded Woodpecker ,
Black-naped Oriole,Heard,28th Feb (Wed),0841,"1.293939,103.772468",Driveway between the Deck and KR Guild House,Tree,0840-0850,Banded Woodpecker ,
Olive-backed Sunbird,1,28th Feb (Wed),0843,"1.293939,103.772468",Driveway between the Deck and KR Guild House,Tree,0840-0850,Banded Woodpecker ,
Javan Myna,1,28th Feb (Wed),0843,"1.293939,103.772468",Driveway between the Deck and KR Guild House,Tree,0840-0850,Banded Woodpecker ,
Javan Myna,2,28th Feb (Wed),0844,"1.293939,103.772468",Driveway between the Deck and KR Guild House,Tree,0840-0850,Banded Woodpecker ,
Yellow-vented Bulbul,Heard,28th Feb (Wed),0847,"1.293939,103.772468",Driveway between the Deck and KR Guild House,Tree,0840-0850,Banded Woodpecker ,
Yellow-vented Bulbul,1,28th Feb (Wed),0849,"1.293939,103.772468",Driveway between the Deck and KR Guild House,Tree,0840-0850,Banded Woodpecker ,
Olive-backed Sunbird,Heard,28th Feb (Wed),0850,"1.293939,103.772468",Driveway between the Deck and KR Guild House,Tree,0840-0850,Banded Woodpecker ,
Yellow-vented Bulbul,Heard,28th Feb (Wed),0850,"1.293939,103.772468",Driveway between the Deck and KR Guild House,Tree,0840-0850,Banded Woodpecker ,
Javan Myna,Heard,28th Feb (Wed),0850,"1.293939,103.772468",Driveway between the Deck and KR Guild House,Tree,0840-0850,Banded Woodpecker ,
Rock Pigeon,Heard,28th Feb (Wed),0850,"1.293939,103.772468",Driveway between the Deck and KR Guild House,Tree,0840-0850,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0906,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Forest,0906-0916,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0906,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Forest,0906-0916,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0906,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Forest,0906-0916,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0906,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Forest,0906-0916,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0906,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Forest,0906-0916,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0906,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Forest,0906-0916,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0906,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Forest,0906-0916,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0906,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Forest,0906-0916,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0906,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Forest,0906-0916,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0906,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Forest,0906-0916,Banded Woodpecker ,
Black-naped Oriole,Heard,28th Feb (Wed),0907,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Tree,0906-0916,Banded Woodpecker ,
Olive-backed Sunbird,Heard,28th Feb (Wed),0907,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Urban,0906-0916,Banded Woodpecker ,
Yellow-vented Bulbul,1,28th Feb (Wed),0908,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Forest,0906-0916,Banded Woodpecker ,
Yellow-vented Bulbul,2,28th Feb (Wed),0909,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Forest,0906-0916,Banded Woodpecker ,
Eagle,Flyby,28th Feb (Wed),0911,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Tree,0906-0916,Banded Woodpecker ,
Javan Myna,Heard,28th Feb (Wed),0912,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Urban,0906-0916,Banded Woodpecker ,
Javan Myna,2,28th Feb (Wed),0914,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Tree,0906-0916,Banded Woodpecker ,
Black-naped Oriole,Heard,28th Feb (Wed),0915,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Tree,0906-0916,Banded Woodpecker ,
Javan Myna,3,28th Feb (Wed),0916,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Tree,0906-0916,Banded Woodpecker ,
Black-naped Oriole,2,28th Feb (Wed),0917,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Tree,0906-0916,Banded Woodpecker ,
Olive-backed Sunbird,2,28th Feb (Wed),0917,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Forest,0906-0916,Banded Woodpecker ,
Olive-backed Sunbird,2,28th Feb (Wed),0917,"1.294779,103.775093","Area behind SoC, between two buildings, next to a forest",Forest,0906-0916,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0932,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0932,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0932,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0932,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0932,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0932,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0932,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0932,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0932,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Swiftlet,Flyby,28th Feb (Wed),0932,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Olive-backed Sunbird,1,28th Feb (Wed),0932,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Olive-backed Sunbird,1,28th Feb (Wed),0932,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Olive-backed Sunbird,1,28th Feb (Wed),0932,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Javan Myna,Heard,28th Feb (Wed),0934,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Bird that sounds like monkey,Heard,28th Feb (Wed),0934,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Olive-backed Sunbird,Heard,28th Feb (Wed),0934,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Javan Myna,Heard,28th Feb (Wed),0934,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Olive-backed Sunbird ,1,28th Feb (Wed),0935,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Olive-backed Sunbird ,1,28th Feb (Wed),0935,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Yellow-vented Bulbul,2,28th Feb (Wed),0937,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Olive-backed Sunbird,Heard,28th Feb (Wed),0937,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Olive-backed Sunbird,1,28th Feb (Wed),0939,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Olive-backed Sunbird,2,28th Feb (Wed),0941,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Yellow-vented Bulbul,2,28th Feb (Wed),0941,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Yellow-vented Bulbul,2,28th Feb (Wed),0941,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Javan Myna,Heard,28th Feb (Wed),0941,"1.297178,103.773651","CLB Annexe, outside Centre for Instructional Technology",Tree,0931-0941,Banded Woodpecker ,
Black-naped Oriole ,Heard,28th Feb (Wed),0844,"1.305818,103.771590","Beside Clementi Road, area beside the Ebra crossing",Tree,0835-0845,Banded Woodpecker ,
Olive-backed Sunbird,Heard,28th Feb (Wed),0845,"1.305818,103.771591","Beside Clementi Road, area beside the Ebra crossing",Forest,0835-0845,Banded Woodpecker ,
Yellow-vented Bulbul,1,28th Feb (Wed),0846,"1.305818,103.771592","Beside Clementi Road, area beside the Ebra crossing",Forest,0835-0845,Banded Woodpecker ,
Crow,Heard,28th Feb (Wed),0848,"1.307937,103.772875","Area outside the dining hall of CAPT and RC4, closer to the Yale-NUS side",Tree,0848-0858,Banded Woodpecker ,
Javan Myna,Flyby,28th Feb (Wed),0852,"1.307937,103.772876","Area outside the dining hall of CAPT and RC4, closer to the Yale-NUS side",Tree,0848-0858,Banded Woodpecker ,
Olive-backed Sunbird,Heard,28th Feb (Wed),0858,"1.307937,103.772877","Area outside the dining hall of CAPT and RC4, closer to the Yale-NUS side",Tree,0848-0858,Banded Woodpecker ,
Koel,Heard,28th Feb (Wed),0900,"1.308765,103.772247",Area beside the parking machine bar. ,Tree,0900-0910,Banded Woodpecker ,
Javan Myna,1,28th Feb (Wed),0902,"1.308765,103.772248",Area beside the parking machine bar. ,Urban,0900-0910,Banded Woodpecker ,
Javan Myna,1,28th Feb (Wed),0902,"1.308765,103.772249",Area beside the parking machine bar. ,Urban,0900-0910,Banded Woodpecker ,
Javan Myna,1,28th Feb (Wed),0902,"1.308765,103.772250",Area beside the parking machine bar. ,Urban,0900-0910,Banded Woodpecker ,
Javan Myna,1,28th Feb (Wed),0902,"1.308765,103.772251",Area beside the parking machine bar. ,Urban,0900-0910,Banded Woodpecker ,
Javan Myna,1,28th Feb (Wed),0902,"1.308765,103.772252",Area beside the parking machine bar. ,Urban,0900-0910,Banded Woodpecker ,
Javan Myna,2,28th Feb (Wed),0908,"1.308765,103.772253",Area beside the parking machine bar. ,Tree,0900-0910,Banded Woodpecker ,
Javan Myna,2,28th Feb (Wed),0908,"1.308765,103.772254",Area beside the parking machine bar. ,Tree,0900-0910,Banded Woodpecker ,
Javan Myna,1,28th Feb (Wed),0908,"1.308765,103.772255",Area beside the parking machine bar. ,Tree,0900-0910,Banded Woodpecker ,
Yellow-vented Bulbul,1,28th Feb (Wed),0905,"1.308765,103.772256",Area beside the parking machine bar. ,Tree,0900-0910,Banded Woodpecker ,
Yellow-vented Bulbul,1,28th Feb (Wed),0905,"1.308765,103.772257",Area beside the parking machine bar. ,Tree,0900-0910,Banded Woodpecker ,
Yellow-vented Bulbul,1,28th Feb (Wed),0905,"1.308765,103.772258",Area beside the parking machine bar. ,Tree,0900-0910,Banded Woodpecker ,
Yellow-vented Bulbul,1,28th Feb (Wed),0906,"1.308765,103.772259",Area beside the parking machine bar. ,Tree,0900-0910,Banded Woodpecker ,
Yellow-vented Bulbul,1,28th Feb (Wed),0906,"1.308765,103.772260",Area beside the parking machine bar. ,Tree,0900-0910,Banded Woodpecker ,
Javan Myna,2,28th Feb (Wed),0916,"1.305587,103.773146",Outside U-town Starbucks,Urban,0915-0925,Banded Woodpecker ,
Yellow-vented Bulbul,2,28th Feb (Wed),0918,"1.305587,103.773146",Outside U-town Starbucks,Urban,0915-0925,Banded Woodpecker ,
Yellow-vented Bulbul,Heard,28th Feb (Wed),0919,"1.305587,103.773146",Outside U-town Starbucks,Urban,0915-0925,Banded Woodpecker ,
Black-naped Oriole ,Heard,28th Feb (Wed),0928,"1.304757,103.773307",Beside guardian,Urban,0925-0935,Banded Woodpecker ,
Javan Myna,2,28th Feb (Wed),0940,"1.305117,103.773674",Beside UTR,Urban,0937-0947,Banded Woodpecker ,
Yellow-vented Bulbul,1,28th Feb (Wed),0953,"1.306371,103.773911",Beside Tembusu college,Tree,0949-0959,Banded Woodpecker ,
Yellow-vented Bulbul,1,28th Feb (Wed),0953,"1.306371,103.773911",Beside Tembusu college,Tree,0949-0959,Banded Woodpecker ,
Yellow-vented Bulbul,1,28th Feb (Wed),0955,"1.306371,103.773911",Beside Tembusu college,Tree,0949-0959,Banded Woodpecker ,
Yellow-vented Bulbul,1,28th Feb (Wed),0955,"1.306371,103.773911",Beside Tembusu college,Tree,0949-0959,Banded Woodpecker ,
Javan Myna ,Flyby,28 Feb (Wed),0819,"1.308473,103.773123","In front of RC4, closest to the University Town bus stop",Urban,0817-0827,Spotted Wood Owl,"180 degree vision only, blocked by RC4 building behind"
Javan Myna ,Flyby,28 Feb (Wed),0819,"1.308473,103.773123","In front of RC4, closest to the University Town bus stop",Urban,0817-0827,Spotted Wood Owl,"180 degree vision only, blocked by RC4 building behind"
Javan Myna ,Flyby,28 Feb (Wed),0819,"1.308473,103.773123","In front of RC4, closest to the University Town bus stop",Urban,0817-0827,Spotted Wood Owl,"180 degree vision only, blocked by RC4 building behind"
Javan Myna ,Flyby,28 Feb (Wed),0819,"1.308473,103.773123","In front of RC4, closest to the University Town bus stop",Urban,0817-0827,Spotted Wood Owl,"180 degree vision only, blocked by RC4 building behind"
Javan Myna ,Flyby,28 Feb (Wed),0819,"1.308473,103.773123","In front of RC4, closest to the University Town bus stop",Urban,0817-0827,Spotted Wood Owl,"180 degree vision only, blocked by RC4 building behind"
Javan Myna,2,28 Feb (Wed),0820,"1.308473,103.773123","In front of RC4, closest to the University Town bus stop",Urban,0817-0827,Spotted Wood Owl,"180 degree vision only, blocked by RC4 building behind"
Yellow-vented Bulbul,2,28 Feb (Wed),0823,"1.308473,103.773123","In front of RC4, closest to the University Town bus stop",Urban,0817-0827,Spotted Wood Owl,"180 degree vision only, blocked by RC4 building behind"
Olive-backed Sunbird,2,28 Feb (Wed),0823,"1.308473,103.773123","In front of RC4, closest to the University Town bus stop",Urban,0817-0827,Spotted Wood Owl,"180 degree vision only, blocked by RC4 building behind"
Javan Myna ,2,28 Feb (Wed),0825,"1.308473,103.773123","In front of RC4, closest to the University Town bus stop",Urban,0817-0827,Spotted Wood Owl,"180 degree vision only, blocked by RC4 building behind"
Javan Myna ,2,28 Feb (Wed),0825,"1.308473,103.773123","In front of RC4, closest to the University Town bus stop",Urban,0817-0827,Spotted Wood Owl,"180 degree vision only, blocked by RC4 building behind"
Javan Myna,2,28 Feb (Wed),0836,"1.307031,103.772207",In the middle of the Yale-NUS garden,Garden/Park,0834-0844,Spotted Wood Owl,"180 degree vision only, blocked by Yale-NUS building behind"
Javan Myna ,Flyby,28 Feb (Wed),0841,"1.307031,103.772207",In the middle of the Yale-NUS garden,Garden/Park,0834-0844,Spotted Wood Owl,"180 degree vision only, blocked by Yale-NUS building behind"
Javan Myna ,Flyby,28 Feb (Wed),0841,"1.307031,103.772207",In the middle of the Yale-NUS garden,Garden/Park,0834-0844,Spotted Wood Owl,"180 degree vision only, blocked by Yale-NUS building behind"
Olive-backed Sunbird,Heard,28 Feb (Wed),0841,"1.307031,103.772207",In the middle of the Yale-NUS garden,Garden/Park,0834-0844,Spotted Wood Owl,"180 degree vision only, blocked by Yale-NUS building behind"
Pink-necked Green Pigeon,2,28 Feb (Wed),0842,"1.307031,103.772207",In the middle of the Yale-NUS garden,Garden/Park,0834-0844,Spotted Wood Owl,"180 degree vision only, blocked by Yale-NUS building behind"
